Zona 1977;UCOD
1;1
2;5
3;5
4;7
5;2
6;1
7;1
8;2
9;1
10;1
11;5
12;5
13;5
14;6
15;6
16;7
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;1
25;4
26;4
27;4
28;4
29;5
30;5
31;5
32;5
33;6
34;6
35;6
36;7
37;7
38;8
39;2
40;8
41;8
42;13
43;13
44;3
45;4
46;4
47;4
48;19
49;23
50;23
51;23
52;24
53;24
54;6
55;26
56;26
57;26
58;7
59;9
60;8
61;8
62;12
63;13
64;13
65;3
66;3
67;4
68;19
69;19
70;19
71;23
72;23
73;24
74;24
75;25
76;27
77;27
78;26
79;54
80;53
81;7
82;37
83;9
84;10
85;10
86;14
87;14
88;14
89;3
90;15
91;15
92;17
93;19
94;19
95;19
96;21
97;21
98;22
99;22
100;50
101;28
102;29
103;24
104;25
105;25
106;54
107;54
108;53
109;53
110;53
111;37
112;37
113;38
114;38
115;10
116;10
117;12
118;43
119;43
120;43
121;14
122;14
123;15
124;15
125;14
126;15
127;15
128;17
129;17
130;19
131;20
132;21
133;22
134;50
135;50
136;28
137;28
138;29
139;29
140;29
141;30
142;30
143;24
144;31
145;31
146;32
147;54
148;54
149;54
150;54
151;57
152;57
153;59
154;38
155;39
156;11
157;42
158;43
159;44
160;44
161;16
162;16
163;16
164;16
165;17
166;18
167;20
168;18
169;63
170;63
171;63
172;35
173;33
174;28
175;33
176;34
177;29
178;34
179;36
180;56
181;56
182;55
183;55
184;58
185;58
186;59
187;39
188;39
189;11
190;41
191;41
192;45
193;45
194;44
195;47
196;46
197;46
198;47
199;48
200;48
201;61
202;61
203;62
204;63
205;51
206;35
207;35
208;51
209;51
210;51
211;51
212;65
213;65
214;55
215;58
216;65
217;58
218;65
219;60
220;40
221;66
222;66
223;66
224;67
225;49
226;49
227;67
228;67
229;67
230;67
231;61
232;62
233;61
234;62
235;64
236;64
237;52
238;52
239;52
240;51
241;64
242;65
243;25
