Zona 1987;UCOD
1;1
2;1
3;1
4;2
5;2
6;2
7;2
8;2
9;3
10;3
11;4
12;4
13;4
14;4
15;4
16;4
17;4
18;5
19;5
20;5
21;5
22;6
23;6
24;6
25;6
26;6
27;6
28;7
29;7
30;7
31;8
32;8
33;8
34;9
35;10
36;10
37;10
38;11
39;11
40;12
41;12
42;12
43;12
44;12
45;13
46;13
47;13
48;14
49;14
50;14
51;14
52;15
53;15
54;15
55;15
56;15
57;15
58;16
59;16
60;17
61;17
62;17
63;18
64;18
65;19
66;19
67;19
68;19
69;19
70;20
71;20
72;20
73;20
74;21
75;21
76;21
77;21
78;22
79;23
80;23
81;23
82;23
83;24
84;24
85;24
86;25
87;25
88;26
89;27
90;28
91;28
92;29
93;29
94;29
95;30
96;30
97;31
98;31
99;32
100;33
101;33
102;34
103;34
104;35
105;35
106;35
107;36
108;36
109;36
110;37
111;37
112;38
113;38
114;39
115;39
116;39
117;39
118;39
119;40
120;40
121;41
122;41
123;41
124;42
125;42
126;42
127;43
128;43
129;43
130;43
131;44
132;44
133;44
134;45
135;46
136;46
137;47
138;47
139;48
140;48
141;48
142;49
143;49
144;49
145;50
146;50
147;50
148;51
149;51
150;51
151;51
152;51
153;51
154;51
155;51
156;51
157;52
158;52
159;52
160;52
161;53
162;53
163;54
164;54
165;54
166;54
167;55
168;55
169;56
170;56
171;56
172;56
173;57
174;58
175;58
176;58
177;59
178;59
179;59
180;60
181;60
182;60
183;61
184;61
185;61
186;61
187;61
188;62
189;62
190;62
191;62
192;62
193;62
194;62
195;62
196;62
197;62
198;62
199;62
200;62
201;62
202;63
203;63
204;63
205;63
206;63
207;63
208;63
209;63
210;63
211;63
212;63
213;63
214;64
215;64
216;64
217;64
218;64
219;64
220;64
221;64
222;65
223;65
224;65
225;65
226;65
227;65
228;65
229;65
230;65
231;66
232;66
233;66
234;66
235;66
236;66
237;66
238;66
239;66
240;67
241;67
242;67
243;67
244;67
245;67
246;67
247;67
248;67
249;67
250;67
251;67
252;67
253;67
254;67
